sketch_uploaded;consent;map_frame_created;map_frame_uuid;bbox;centroid;format;orientation;orientation_det
2024-08-19 00:10:42.116 +0200;false;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-19 00:12:13.299 +0200;true;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-19 16:35:32.616 +0200;false;2024-08-19 16:34:22.982;1fe42c01-371f-4e01-9a48-3d77855ed66d;POLYGON((8.665005378881586 49.403220350803025,8.689582281973024 49.403220350803025,8.689582281973024 49.41660456563386,8.665005378881586 49.41660456563386,8.665005378881586 49.403220350803025));POINT(8.677293830427304 49.40991291435185);a4;landscape;landscape
2024-08-20 13:17:37.660 +0200;true;2024-08-20 13:12:34.381;fa3d357f-d8f7-409e-a968-de671811a42f;POLYGON((16.35763864559769 48.19060436013086,16.37865357464538 48.19060436013086,16.37865357464538 48.2023293861248,16.35763864559769 48.2023293861248,16.35763864559769 48.19060436013086));POINT(16.368146110121536 48.196467208535864);a4;landscape;landscape
2024-08-20 15:12:59.101 +0200;true;2024-08-20 15:01:48.457;6ba1df9b-8735-4d08-8995-e095e514d157;POLYGON((-75.4400748026466 5.029271409369898,-75.41902606744831 5.029271409369898,-75.41902606744831 5.046821325558383,-75.4400748026466 5.046821325558383,-75.4400748026466 5.029271409369898));POINT(-75.42955043504746 5.038046426701868);a4;landscape;landscape
2024-08-20 15:17:49.783 +0200;true;2024-08-20 15:01:48.457;6ba1df9b-8735-4d08-8995-e095e514d157;POLYGON((-75.4400748026466 5.029271409369898,-75.41902606744831 5.029271409369898,-75.41902606744831 5.046821325558383,-75.4400748026466 5.046821325558383,-75.4400748026466 5.029271409369898));POINT(-75.42955043504746 5.038046426701868);a4;landscape;landscape
2024-08-20 15:30:43.510 +0200;true;2024-08-20 15:01:48.457;6ba1df9b-8735-4d08-8995-e095e514d157;POLYGON((-75.4400748026466 5.029271409369898,-75.41902606744831 5.029271409369898,-75.41902606744831 5.046821325558383,-75.4400748026466 5.046821325558383,-75.4400748026466 5.029271409369898));POINT(-75.42955043504746 5.038046426701868);a4;landscape;landscape
2024-08-20 15:36:11.121 +0200;true;2024-08-15 22:51:12.124;6d6896e7-5923-4228-bae0-cfd20d71b08b;POLYGON((-75.44200030092941 5.028306757516376,-75.41831571126741 5.028306757516376,-75.41831571126741 5.0480545838434665,-75.44200030092941 5.0480545838434665,-75.44200030092941 5.028306757516376));POINT(-75.43015800609841 5.038180745686347);a3;landscape;landscape
2024-08-20 15:46:20.833 +0200;true;2024-08-15 22:51:12.124;6d6896e7-5923-4228-bae0-cfd20d71b08b;POLYGON((-75.44200030092941 5.028306757516376,-75.41831571126741 5.028306757516376,-75.41831571126741 5.0480545838434665,-75.44200030092941 5.0480545838434665,-75.44200030092941 5.028306757516376));POINT(-75.43015800609841 5.038180745686347);a3;landscape;landscape
2024-08-20 17:14:50.053 +0200;true;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-20 17:17:28.899 +0200;true;2024-08-15 22:51:37.116;fd16a297-b099-4339-8073-02f0161364a9;POLYGON((-75.43991365468551 5.029733315621499,-75.4196509066797 5.029733315621499,-75.4196509066797 5.04662806595347,-75.43991365468551 5.04662806595347,-75.43991365468551 5.029733315621499));POINT(-75.4297822806826 5.038180745686361);a3;landscape;landscape
2024-08-21 07:53:15.910 +0200;false;2024-08-21 07:50:48.488;300e0fe0-c005-4303-bb67-e1b921f11ac5;POLYGON((120.28648517682073 16.61255639377272,120.2921465769002 16.61255639377272,120.2921465769002 16.617631684693265,120.28648517682073 16.617631684693265,120.28648517682073 16.61255639377272));POINT(120.28931587686046 16.61509405600202);letter;landscape;landscape
2024-08-21 12:05:22.872 +0200;false;2024-08-21 12:00:32.546;20f80140-bc52-4396-9b92-7b9b5a0ff2cf;POLYGON((10.343828812147853 36.86702945713999,10.353200186220128 36.86702945713999,10.353200186220128 36.87332239245323,10.343828812147853 36.87332239245323,10.343828812147853 36.86702945713999));POINT(10.34851449918399 36.8701759895943);a3;landscape;landscape
2024-08-21 14:31:48.089 +0200;true;2024-08-21 14:29:52.018;07316a08-a444-4e2d-812e-385e005f58b6;POLYGON((27.988292542714305 7.689297825945232,28.013445570032346 7.689297825945232,28.013445570032346 7.710160648649037,27.988292542714305 7.710160648649037,27.988292542714305 7.689297825945232));POINT(28.00086905637333 7.6997293656814065);a4;landscape;landscape
2024-08-21 14:34:16.767 +0200;true;2024-08-21 14:29:52.018;07316a08-a444-4e2d-812e-385e005f58b6;POLYGON((27.988292542714305 7.689297825945232,28.013445570032346 7.689297825945232,28.013445570032346 7.710160648649037,27.988292542714305 7.710160648649037,27.988292542714305 7.689297825945232));POINT(28.00086905637333 7.6997293656814065);a4;landscape;landscape
2024-08-21 14:35:53.327 +0200;false;2024-08-21 14:29:52.018;07316a08-a444-4e2d-812e-385e005f58b6;POLYGON((27.988292542714305 7.689297825945232,28.013445570032346 7.689297825945232,28.013445570032346 7.710160648649037,27.988292542714305 7.710160648649037,27.988292542714305 7.689297825945232));POINT(28.00086905637333 7.6997293656814065);a4;landscape;landscape
2024-08-21 14:36:26.757 +0200;true;2024-08-21 14:29:52.018;07316a08-a444-4e2d-812e-385e005f58b6;POLYGON((27.988292542714305 7.689297825945232,28.013445570032346 7.689297825945232,28.013445570032346 7.710160648649037,27.988292542714305 7.710160648649037,27.988292542714305 7.689297825945232));POINT(28.00086905637333 7.6997293656814065);a4;landscape;landscape
2024-08-21 14:39:13.703 +0200;true;2024-08-21 14:29:52.018;07316a08-a444-4e2d-812e-385e005f58b6;POLYGON((27.988292542714305 7.689297825945232,28.013445570032346 7.689297825945232,28.013445570032346 7.710160648649037,27.988292542714305 7.710160648649037,27.988292542714305 7.689297825945232));POINT(28.00086905637333 7.6997293656814065);a4;landscape;landscape
2024-08-21 14:50:09.280 +0200;true;2024-08-21 14:48:35.168;fa9837c6-1ed4-4cea-b027-923326cde5e4;POLYGON((27.989294841228364 7.688845699595888,28.014255484431416 7.688845699595888,28.014255484431416 7.709549235258194,27.989294841228364 7.709549235258194,27.989294841228364 7.688845699595888));POINT(28.001775162829887 7.699197593849533);a4;landscape;landscape
2024-08-21 14:50:39.748 +0200;true;2024-08-21 14:48:35.168;fa9837c6-1ed4-4cea-b027-923326cde5e4;POLYGON((27.989294841228364 7.688845699595888,28.014255484431416 7.688845699595888,28.014255484431416 7.709549235258194,27.989294841228364 7.709549235258194,27.989294841228364 7.688845699595888));POINT(28.001775162829887 7.699197593849533);a4;landscape;landscape
